X,Y,Text,tipo,angulo,icon_url
-49.489376079683,-28.3845980975437,"10",Galeria,"135",./0.png
-49.4911076962898,-28.385316275446,"1",Galeria,"135",./0.png
-49.4914153506181,-28.3854462451725,"3",Galeria,"135",./0.png
-49.4917197180805,-28.3855736605469,"5",Galeria,"135",./0.png
-49.4920240862968,-28.3857010752665,"7",Galeria,"135",./0.png
-49.4890993872221,-28.3844822608292,"12",Galeria,"135",./0.png
-49.4892688100257,-28.383512166025,TV 0,Travessa,"45",./0.png
-49.4889921204549,-28.3833963291868,TV 1,Travessa,"45",./0.png
-49.4887154315071,-28.3832804918076,TV 2,Travessa,"45",./0.png
-49.4884186075517,-28.3832014432154,TV 3,Travessa,"45",./0.png
-49.4881423350529,-28.3830777593421,TV 4,Travessa,"45",./0.png
-49.4911099671535,-28.4020779887267,"14",Galeria,"135",./0.png
-49.4885585417897,-28.4024902530418,"1",Galeria,"135",./0.png
-49.4911954942954,-28.4009033938802,"16",Galeria,"135",./0.png
-49.4914236564693,-28.4020224192086,"16",Galeria,"135",./0.png
-49.4915118789698,-28.4008529571167,"18",Galeria,"135",./0.png
-49.491828263379,-28.4008025196062,"20",Galeria,"135",./0.png
-49.492144647523,-28.4007520813487,"22",Galeria,"135",./0.png
-49.491740044413,-28.4019719820453,"18",Galeria,"135",./0.png
-49.4920564320915,-28.401921544135,"20",Galeria,"135",./0.png
-49.4923728195048,-28.4018711054778,"22",Galeria,"135",./0.png
-49.4902987367278,-28.3996872167596,"12",Galeria,"135",./0.png
-49.4874303340001,-28.4001439536387,"5",Galeria,"135",./0.png
-49.4902507438791,-28.4032752165745,TV 13,Travessa,"45",./0.png
-49.4903177416398,-28.4036038195897,TV 14,Travessa,"45",./0.png
-49.4903847397664,-28.4039324225723,TV 15,Travessa,"45",./0.png
-49.4904517382589,-28.4042610255224,TV 16,Travessa,"45",./0.png
-49.4905187371172,-28.40458962844,TV 17,Travessa,"45",./0.png
-49.4905857363415,-28.404918231325,TV 18,Travessa,"45",./0.png
-49.4906527359316,-28.4052468341775,TV 19,Travessa,"45",./0.png
-49.4900767666662,-28.4035044727948,"6",Galeria,"135",./0.png
